영화명,관객수,대표국적,월
소방관,2655275,한국,12
모아나 2,2135726,미국,12
위키드,821627,미국,12
히든페이스,351809,한국,12
무파사: 라이온 킹,333134,미국,12
1승,302974,한국,12
대가족,285428,한국,12
극장판 짱구는 못말려: 우리들의 공룡일기,272046,일본,12
서브스턴스,116745,영국,12
퍼스트레이디,69177,한국,12
글래디에이터 Ⅱ,67306,미국,12
극장판 주술회전 0,47552,일본,12
인터스텔라,38497,미국,12
청설,35424,한국,12
"플레이브 팬 콘서트 ‘헬로, 아스테룸!’ 앙코르 인 시네마",28355,한국,12
이처럼 사소한 것들,25991,미국,12
하얼빈,24681,한국,12
이터널 선샤인,19771,미국,12
원정빌라,17459,한국,12
더 크로우,16918,프랑스,12
정동원 성탄총동원 더 무비,16010,한국,12
나의 히어로 아카데미아 더 무비: 유어 넥스트,15905,일본,12
엔시티 드림 미스터리 랩: 드림 이스케이프 인 시네마,12484,한국,12
포레스트 검프,11823,미국,12
저니 투 베들레헴,11625,미국,12
아키라,11345,일본,12
크리스마스에 기적을 만날 확률,10189,일본,12
덩케르크,9592,미국,12
매트릭스,9216,미국,12
투모로우바이투게더 : 하이퍼포커스 인 시네마,8842,한국,12
헬보이: 크룩드 맨,8827,미국,12
극장판 블루 록 -에피소드 나기-,8103,일본,12
"알엠: 라이트 피플, 롱 플레이스",7705,한국,12
여름날의 레몬그라스,7469,대만,12
백현: 론스달라이트 닷 인 시네마,6447,한국,12
베놈: 라스트 댄스,6100,미국,12
에드워드 호퍼,6026,영국,12
뽀로로 극장판 바닷속 대모험,5450,한국,12
니코: 오로라 원정대의 모험,5335,독일,12
극장총집편 봇치 더 록! 후편,5102,일본,12
엠호텔,4980,한국,12
언니 유정,4926,한국,12
미세스 그린 애플 // 더 화이트 라운지 인 시네마,4895,일본,12
나 혼자만 레벨업 -리어웨이크닝-,4850,일본,12
아침바다 갈매기는,4646,한국,12
"괜찮아, 앨리스",4316,한국,12
공각기동대,4234,일본,12
빌리와 용감한 녀석들: 스노우 베어 구조대,4149,멕시코,12
