Matchday,Home,Away,Month,Day,Date of the week,Attendance
1,Ulsan HD FC,Pohang Steelers,3,1,Fri,28683
1,Jeonbuk Hyundai Motors,Daejeon Hana Citizen,3,1,Fri,24758
1,Incheon United,Suwon FC,3,2,Sat,15060
1,Gangwon FC,Jeju SK,3,2,Sat,6021
1,Gwangju FC,FC Seoul,3,2,Sat,7805
1,Daegu FC,Gimcheon Sangmu,3,3,Sun,12133
2,Pohang Steelers,Daegu FC,3,9,Sat,10946
2,Suwon FC,Jeonbuk Hyundai Motors,3,9,Sat,9557
2,Gimcheon Sangmu,Ulsan HD FC,3,9,Sat,5848
2,FC Seoul,Incheon United,3,10,Sun,51670
2,Jeju SK,Daejeon Hana Citizen,3,10,Sun,9083
2,Gwangju FC,Gangwon FC,3,10,Sun,5786
3,FC Seoul,Jeju SK,3,16,Sat,29536
3,Daegu FC,Suwon FC,3,16,Sat,11997
3,Daejeon Hana Citizen,Gangwon FC,3,16,Sat,17191
3,Ulsan HD FC,Incheon United,3,17,Sun,15233
3,Pohang Steelers,Gwangju FC,3,17,Sun,9203
3,Gimcheon Sangmu,Jeonbuk Hyundai Motors,3,17,Sun,4300
4,Jeonbuk Hyundai Motors,Ulsan HD FC,3,30,Sat,25782
4,Incheon United,Daejeon Hana Citizen,3,30,Sat,11581
4,Jeju SK,Pohang Steelers,3,30,Sat,6036
4,Suwon FC,Gimcheon Sangmu,3,30,Sat,6145
4,Gangwon FC,FC Seoul,3,31,Sun,10144
4,Gwangju FC,Daegu FC,3,31,Sun,7313
5,Pohang Steelers,Suwon FC,4,2,Tue,5143
5,Daejeon Hana Citizen,Ulsan HD FC,4,2,Tue,7927
5,FC Seoul,Gimcheon Sangmu,4,3,Wed,13040
5,Gangwon FC,Daegu FC,4,3,Wed,3056
5,Jeju SK,Jeonbuk Hyundai Motors,4,3,Wed,3426
5,Gwangju FC,Incheon United,4,3,Wed,1562
6,Ulsan HD FC,Suwon FC,4,6,Sat,14215
6,Incheon United,Jeju SK,4,6,Sat,9293
6,Gimcheon Sangmu,Gwangju FC,4,6,Sat,2978
6,Jeonbuk Hyundai Motors,Gangwon FC,4,7,Sun,11215
6,Daegu FC,FC Seoul,4,7,Sun,12088
6,Daejeon Hana Citizen,Pohang Steelers,4,7,Sun,10761
7,FC Seoul,Pohang Steelers,4,13,Sat,29051
7,Ulsan HD FC,Gangwon FC,4,13,Sat,13874
