Team,Season,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
OklahomaCityThunder,24-25,59,12,0.831,48.1,119.8,44.4,92.6,48,14.4,38.9,37,16.6,20.2,82.1,10.8,34,44.8,26.8,11.8,10.5,5.8,4.8,20,18.3,12.9
ClevelandCavaliers,24-25,57,14,0.803,48.1,122.3,44.5,90.4,49.2,15.9,41.4,38.4,17.4,22.1,78.4,11,34.1,45.1,28.3,13,8.2,4.3,4.4,18.2,19.1,10.4
BostonCeltics,24-25,52,19,0.732,48.4,116.7,41.6,90,46.3,17.8,48.2,37,15.6,19.5,79.9,11.1,33.7,44.8,25.8,11.8,7.4,5.6,3.7,16.2,17.9,8.7
HoustonRockets,24-25,46,26,0.639,48.3,113.5,42,93.2,45.1,12.4,35.7,34.8,17.1,23.1,73.8,14.8,33.8,48.6,22.9,14,8.4,5.1,5.9,19.3,19.6,4.4
NewYorkKnicks,24-25,44,26,0.629,48.5,116.4,43.5,89.5,48.6,12.6,34.2,36.8,16.8,20.9,80.3,10.9,32.1,43,27.3,13.2,8.1,4,5.1,17,19,4.2
DenverNuggets,24-25,45,27,0.625,48.3,120.7,45.5,89.9,50.6,12.1,31.8,38.1,17.6,22.8,77.3,11.3,34.2,45.5,30.9,14.3,8.1,4.7,5.3,17.8,18.9,3.9
LosAngelesLakers,24-25,43,27,0.614,48.1,112.8,40.9,85.6,47.8,12.9,35.9,36,18.1,23.1,78.1,9.6,33,42.6,26.3,14,7.7,4.6,4.2,17.1,19.2,0.9
MemphisGrizzlies,24-25,43,28,0.606,48.1,122.1,44.9,93.5,48,13.7,37.4,36.6,18.6,23.7,78.4,13.2,34.2,47.4,28.7,15.9,9,5.9,5.7,21,20.5,5.2
IndianaPacers,24-25,41,29,0.586,48.4,116.6,43.4,88.7,48.9,13,35.2,36.8,16.8,21.3,78.9,8.9,32.3,41.2,29,13.5,8.5,5.2,4.4,19.1,18.7,1.2
GoldenStateWarriors,24-25,41,30,0.577,48.1,113.4,40.8,90.7,45,15.3,42.2,36.3,16.4,21.8,75.5,12.5,33.1,45.6,29.1,14,9.1,5.1,5.5,19.4,18.4,2.4
MilwaukeeBucks,24-25,40,30,0.571,48.1,114.5,41.6,86.6,48.1,14.1,36.8,38.2,17.1,22.8,75.3,8.5,35.5,44,25.1,13.6,7.4,4.8,4,18.1,18.9,2.4
MinnesotaTimberwolves,24-25,41,31,0.569,48.3,113.7,40.6,87.3,46.4,15.2,40,38,17.4,21.9,79.4,10.9,33,43.9,26,14.5,8.3,4.9,4.7,18.1,19.2,4.5
LAClippers,24-25,40,31,0.563,48.3,111.8,41.1,86.3,47.6,12.3,33.7,36.4,17.3,21.8,79.4,10.4,33.4,43.8,25,15.2,9.5,4.6,4.4,18.4,17.9,3.3
DetroitPistons,24-25,40,32,0.556,48.3,115.3,42.8,89.6,47.7,12.7,35.1,36.2,17.1,22,77.7,11.4,33.8,45.1,26.4,15.3,8.2,5.2,4.9,20.6,18.7,2.3
SacramentoKings,24-25,35,35,0.5,48.6,116.5,43.2,90.5,47.8,12.6,35.7,35.3,17.4,21.6,80.6,11.1,33.2,44.3,26.8,13.4,7.7,4.5,4.4,19,18.7,0.7
AtlantaHawks,24-25,35,36,0.493,48.3,117.6,43.1,91.9,46.9,13.2,37.1,35.6,18.2,23.5,77.3,11.9,32.7,44.6,29.4,15.7,9.8,5.3,5,18.9,19.5,-1.7
DallasMavericks,24-25,34,37,0.479,48.1,115,42.1,88.4,47.6,12.9,35.2,36.7,17.9,23,77.7,10.4,32.9,43.3,25.2,13.9,7.8,5.5,4.7,18.1,18.7,-0.4
PhoenixSuns,24-25,34,37,0.479,48.4,114.7,41.4,86,48.1,14.5,37.7,38.4,17.5,21.6,81.1,9.2,33.7,42.9,28.2,14,7.2,5,4.1,18.1,19,-1.1
OrlandoMagic,24-25,33,38,0.465,48.1,104.8,37.9,85.8,44.1,10.9,35.1,31.1,18.1,23.5,77.2,11.2,30.5,41.6,22.8,14.3,8.9,6,4.5,20.6,20.6,-1.3
PortlandTrailBlazers,24-25,32,40,0.444,48.2,111,40.5,89.5,45.2,13,37.3,34.8,17,22.2,76.8,12.9,31.5,44.4,23.7,16.1,8.1,5.4,5.4,19.2,19.2,-3.2
SanAntonioSpurs,24-25,31,39,0.443,48.1,114.6,42,89.8,46.8,14.1,39.5,35.6,16.5,21.3,77.5,11,32.9,43.9,29.1,13.9,8.3,5.9,4.4,16.6,17.7,-1.6
ChicagoBulls,24-25,31,40,0.437,48.2,117.1,43,92.1,46.7,15.6,42.6,36.6,15.5,19.3,80.7,9.9,35.4,45.3,28.9,14.6,7.6,4.7,5.1,17.9,16.7,-2.6
MiamiHeat,24-25,30,41,0.423,48.6,109.2,39.7,86.3,46,13.5,37.6,35.9,16.3,20.5,79.2,9.4,33.5,42.9,26.2,13.8,7.9,3.8,4.8,15.7,17.2,-1.5
TorontoRaptors,24-25,24,47,0.338,48.4,110.4,41.3,89.9,45.9,11.5,33.1,34.7,16.3,21.7,75,12.4,32.4,44.8,28.3,15.7,7.8,4.4,5.8,21.5,18.7,-5.5
BrooklynNets,24-25,23,48,0.324,48.3,105.4,37.7,86.2,43.8,13.5,39.1,34.5,16.4,20.8,78.8,11.2,30.1,41.3,25,15,7.9,4.4,5.8,20.6,19,-6.1
Philadelphia76ers,24-25,23,48,0.324,48.4,110.1,39.7,87.1,45.6,12.8,37,34.6,17.8,22.8,78.4,10.2,29.1,39.3,23.1,13.5,9.3,4.2,5.2,19.3,19.1,-5.5
NewOrleansPelicans,24-25,19,53,0.264,48.2,110.5,40.8,90,45.3,12.2,34.8,35,16.7,22.1,75.5,12.1,31.1,43.2,25.6,14.5,8.6,5.4,5.4,18.2,18,-8.9
CharlotteHornets,24-25,18,53,0.254,48.2,105.8,38.5,89.7,43,13.3,39,34.2,15.5,19.6,78.8,12.5,32.6,45.2,24.4,15.4,7.6,4.6,5.5,19.1,18.2,-8.2
UtahJazz,24-25,16,56,0.222,48.3,112,40.3,88.2,45.7,13.9,39.3,35.4,17.4,22.7,76.9,12.1,33.8,45.9,25.6,17.6,6.6,4.5,6.3,19,19.5,-7.8
WashingtonWizards,24-25,15,55,0.214,48.1,108.7,39.6,90.3,43.9,13.2,39.3,33.6,16.2,20.8,78.2,10.8,33.3,44.1,25.5,15.9,7.8,5.2,5.2,20.1,18.5,-12
BostonCeltics,23-24,64,18,0.78,48.4,120.6,43.9,90.2,48.7,16.5,42.5,38.8,16.3,20.2,80.7,10.7,35.6,46.3,26.9,11.9,6.8,6.6,3.7,16.2,17.3,11.3
DenverNuggets,23-24,57,25,0.695,48.1,114.9,44,88.8,49.6,11.7,31.2,37.4,15.1,19.9,76.2,10.7,33.7,44.4,29.5,12.6,7.1,5.6,4.8,18.2,17.9,5.3
OklahomaCityThunder,23-24,57,25,0.695,48.3,120.1,44.5,89.3,49.9,13.3,34.2,38.9,17.7,21.5,82.5,8.8,33.2,42,27.1,12.7,8.5,6.6,5.1,18.8,18.9,7.4
MinnesotaTimberwolves,23-24,56,26,0.683,48.3,113,41.3,85,48.5,12.6,32.7,38.7,17.8,22.9,77.7,9.4,34.2,43.6,26.6,14.2,7.9,6.1,4.5,18.8,19.9,6.5
LAClippers,23-24,51,31,0.622,48.1,115.6,42.4,86.7,48.9,12.6,33.2,38.1,18.3,22.2,82.5,10,32.9,43,25.6,13.1,7.8,5,4.7,18.5,18.7,3.3
DallasMavericks,23-24,50,32,0.61,48.1,117.9,43.1,89.7,48.1,14.6,39.5,36.9,17,22.5,75.8,9.7,33.2,42.9,25.7,12.5,6.9,5,4,18.3,20.3,2.2
NewYorkKnicks,23-24,50,32,0.61,48.1,112.8,41.3,88.7,46.5,13.2,35.8,36.9,17,21.8,78,12.7,32.5,45.2,24.4,13.2,7.5,4.1,5.3,17.6,19.1,4.6
MilwaukeeBucks,23-24,49,33,0.598,48.3,119,43.1,88.5,48.7,14.2,38.1,37.3,18.5,23.9,77.4,9.4,34.8,44.2,26.5,12.9,6.8,5,4.2,19.2,19.2,2.6
NewOrleansPelicans,23-24,49,33,0.598,48.1,115.1,42.5,87.4,48.6,12.5,32.6,38.3,17.6,22.8,77.1,10.4,33.6,44,27,13,8.3,4.6,5.2,18.4,18.4,4.4
PhoenixSuns,23-24,49,33,0.598,48.2,116.2,42.5,86.1,49.3,12.4,32.6,38.2,18.9,23.4,80.8,10.1,33.9,44.1,27,14.9,7.4,6,4.5,18,19.7,3.1
ClevelandCavaliers,23-24,48,34,0.585,48.3,112.6,41.8,87.2,47.9,13.5,36.8,36.7,15.6,20.4,76.5,9.8,33.4,43.3,28,13.6,7.4,4.6,5,17.5,18.7,2.4
IndianaPacers,23-24,47,35,0.573,48.1,123.3,47,92.7,50.7,13.2,35.3,37.4,16.1,20.5,78.2,10.1,31.4,41.5,30.8,12.9,7.7,5.9,5.4,21.4,18.3,3
LosAngelesLakers,23-24,47,35,0.573,48.4,118,43.7,87.5,49.9,11.8,31.4,37.7,18.9,24.2,78.2,8.2,34.9,43.1,28.5,14,7.4,5.5,4.8,15.6,19.7,0.6
OrlandoMagic,23-24,47,35,0.573,48.2,110.5,40.5,84.9,47.6,11,31.3,35.2,18.5,24.4,75.9,10.5,31.8,42.3,24.7,14.7,8.2,5.2,4.6,19.7,20.9,2
Philadelphia76ers,23-24,47,35,0.573,48.2,114.6,41.5,89.4,46.4,12.1,33.3,36.3,19.5,23.6,82.6,11,31.9,43,24.9,12,8.5,6,6.1,20.3,18.5,3
GoldenStateWarriors,23-24,46,36,0.561,48.4,117.8,43.7,91.6,47.7,14.8,38.9,38,15.6,20,78,12.1,34.6,46.7,29.3,14.3,7,4.6,5,19.5,17.9,2.6
