연월,행정동코드,연령대코드,성별코드,구분명,인구수
2024-01,1100000000,0,1,내국인,262001
2024-01,1100000000,10,1,내국인,374718
2024-01,1100000000,20,1,내국인,640896
2024-01,1100000000,30,1,내국인,713652
2024-01,1100000000,40,1,내국인,701808
2024-01,1100000000,50,1,내국인,735899
2024-01,1100000000,60,1,내국인,623584
2024-01,1100000000,70,1,내국인,485796
2024-01,1100000000,0,2,내국인,248838
2024-01,1100000000,10,2,내국인,357377
2024-01,1100000000,20,2,내국인,710961
2024-01,1100000000,30,2,내국인,713001
2024-01,1100000000,40,2,내국인,716550
2024-01,1100000000,50,2,내국인,761662
2024-01,1100000000,60,2,내국인,694050
2024-01,1100000000,70,2,내국인,643532
2024-01,2600000000,0,1,내국인,99134
2024-01,2600000000,10,1,내국인,135087
2024-01,2600000000,20,1,내국인,192700
2024-01,2600000000,30,1,내국인,200820
2024-01,2600000000,40,1,내국인,244294
2024-01,2600000000,50,1,내국인,264982
2024-01,2600000000,60,1,내국인,264179
2024-01,2600000000,70,1,내국인,202663
2024-01,2600000000,0,2,내국인,94116
2024-01,2600000000,10,2,내국인,128304
2024-01,2600000000,20,2,내국인,182744
2024-01,2600000000,30,2,내국인,189075
2024-01,2600000000,40,2,내국인,239372
2024-01,2600000000,50,2,내국인,277486
2024-01,2600000000,60,2,내국인,296579
2024-01,2600000000,70,2,내국인,279429
2024-01,2700000000,0,1,내국인,76765
2024-01,2700000000,10,1,내국인,110362
2024-01,2700000000,20,1,내국인,148134
2024-01,2700000000,30,1,내국인,148991
2024-01,2700000000,40,1,내국인,175953
2024-01,2700000000,50,1,내국인,205607
2024-01,2700000000,60,1,내국인,175566
2024-01,2700000000,70,1,내국인,124732
2024-01,2700000000,0,2,내국인,72900
2024-01,2700000000,10,2,내국인,103525
2024-01,2700000000,20,2,내국인,132905
2024-01,2700000000,30,2,내국인,130696
2024-01,2700000000,40,2,내국인,179338
2024-01,2700000000,50,2,내국인,215601
2024-01,2700000000,60,2,내국인,191201
2024-01,2700000000,70,2,내국인,181568
2024-01,2800000000,0,1,내국인,103531
2024-01,2800000000,10,1,내국인,139629
2024-01,2800000000,20,1,내국인,188233
2024-01,2800000000,30,1,내국인,215487
2024-01,2800000000,40,1,내국인,247136
2024-01,2800000000,50,1,내국인,257587
2024-01,2800000000,60,1,내국인,218849
2024-01,2800000000,70,1,내국인,129962
2024-01,2800000000,0,2,내국인,98278
2024-01,2800000000,10,2,내국인,132548
2024-01,2800000000,20,2,내국인,174813
2024-01,2800000000,30,2,내국인,197853
2024-01,2800000000,40,2,내국인,233687
2024-01,2800000000,50,2,내국인,259536
2024-01,2800000000,60,2,내국인,224063
2024-01,2800000000,70,2,내국인,179262
2024-01,2900000000,0,1,내국인,50663
2024-01,2900000000,10,1,내국인,76024
2024-01,2900000000,20,1,내국인,99332
2024-01,2900000000,30,1,내국인,89622
2024-01,2900000000,40,1,내국인,113044
2024-01,2900000000,50,1,내국인,119409
2024-01,2900000000,60,1,내국인,88618
2024-01,2900000000,70,1,내국인,63665
2024-01,2900000000,0,2,내국인,48313
2024-01,2900000000,10,2,내국인,71237
2024-01,2900000000,20,2,내국인,90868
2024-01,2900000000,30,2,내국인,83938
2024-01,2900000000,40,2,내국인,113902
2024-01,2900000000,50,2,내국인,121916
2024-01,2900000000,60,2,내국인,96668
2024-01,2900000000,70,2,내국인,91022
2024-01,3000000000,0,1,내국인,49512
2024-01,3000000000,10,1,내국인,71001
2024-01,3000000000,20,1,내국인,103848
2024-01,3000000000,30,1,내국인,99510
2024-01,3000000000,40,1,내국인,109529
2024-01,3000000000,50,1,내국인,121622
2024-01,3000000000,60,1,내국인,98075
2024-01,3000000000,70,1,내국인,65911
2024-01,3000000000,0,2,내국인,46623
2024-01,3000000000,10,2,내국인,66553
2024-01,3000000000,20,2,내국인,94683
2024-01,3000000000,30,2,내국인,88577
2024-01,3000000000,40,2,내국인,109867
2024-01,3000000000,50,2,내국인,122180
2024-01,3000000000,60,2,내국인,104284
2024-01,3000000000,70,2,내국인,89787
2024-01,3100000000,0,1,내국인,40312
2024-01,3100000000,10,1,내국인,57076
2024-01,3100000000,20,1,내국인,69514
2024-01,3100000000,30,1,내국인,74283
2024-01,3100000000,40,1,내국인,91575
2024-01,3100000000,50,1,내국인,102971
2024-01,3100000000,60,1,내국인,85679
2024-01,3100000000,70,1,내국인,45671
2024-01,3100000000,0,2,내국인,38198
2024-01,3100000000,10,2,내국인,52416
2024-01,3100000000,20,2,내국인,52666
2024-01,3100000000,30,2,내국인,62423
2024-01,3100000000,40,2,내국인,86120
2024-01,3100000000,50,2,내국인,102054
2024-01,3100000000,60,2,내국인,84124
2024-01,3100000000,70,2,내국인,58320
2024-01,3600000000,0,1,내국인,22051
2024-01,3600000000,10,1,내국인,25651
2024-01,3600000000,20,1,내국인,19107
2024-01,3600000000,30,1,내국인,29162
2024-01,3600000000,40,1,내국인,38258
2024-01,3600000000,50,1,내국인,28691
2024-01,3600000000,60,1,내국인,18628
2024-01,3600000000,70,1,내국인,11156
2024-01,3600000000,0,2,내국인,21350
2024-01,3600000000,10,2,내국인,25196
2024-01,3600000000,20,2,내국인,18518
2024-01,3600000000,30,2,내국인,30039
2024-01,3600000000,40,2,내국인,39003
2024-01,3600000000,50,2,내국인,26126
2024-01,3600000000,60,2,내국인,18783
2024-01,3600000000,70,2,내국인,15225
2024-01,4100000000,0,1,내국인,503602
2024-01,4100000000,10,1,내국인,675451
2024-01,4100000000,20,1,내국인,882405
2024-01,4100000000,30,1,내국인,978973
2024-01,4100000000,40,1,내국인,1149037
2024-01,4100000000,50,1,내국인,1181043
2024-01,4100000000,60,1,내국인,917489
2024-01,4100000000,70,1,내국인,569867
2024-01,4100000000,0,2,내국인,480420
2024-01,4100000000,10,2,내국인,644689
2024-01,4100000000,20,2,내국인,794799
2024-01,4100000000,30,2,내국인,898030
2024-01,4100000000,40,2,내국인,1105060
2024-01,4100000000,50,2,내국인,1161493
2024-01,4100000000,60,2,내국인,920940
2024-01,4100000000,70,2,내국인,771952
2024-01,4300000000,0,1,내국인,52623
2024-01,4300000000,10,1,내국인,74516
2024-01,4300000000,20,1,내국인,99956
2024-01,4300000000,30,1,내국인,102579
2024-01,4300000000,40,1,내국인,119397
2024-01,4300000000,50,1,내국인,140396
2024-01,4300000000,60,1,내국인,130618
2024-01,4300000000,70,1,내국인,89745
2024-01,4300000000,0,2,내국인,50069
2024-01,4300000000,10,2,내국인,69712
2024-01,4300000000,20,2,내국인,80467
2024-01,4300000000,30,2,내국인,84746
2024-01,4300000000,40,2,내국인,110925
2024-01,4300000000,50,2,내국인,132578
2024-01,4300000000,60,2,내국인,127637
2024-01,4300000000,70,2,내국인,126191
2024-01,4400000000,0,1,내국인,73349
2024-01,4400000000,10,1,내국인,104471
2024-01,4400000000,20,1,내국인,125171
2024-01,4400000000,30,1,내국인,136176
2024-01,4400000000,40,1,내국인,172329
2024-01,4400000000,50,1,내국인,186521
2024-01,4400000000,60,1,내국인,165693
2024-01,4400000000,70,1,내국인,128349
2024-01,4400000000,0,2,내국인,69616
2024-01,4400000000,10,2,내국인,97577
2024-01,4400000000,20,2,내국인,99798
2024-01,4400000000,30,2,내국인,114523
2024-01,4400000000,40,2,내국인,151536
2024-01,4400000000,50,2,내국인,164448
2024-01,4400000000,60,2,내국인,160328
2024-01,4400000000,70,2,내국인,180624
2024-01,4600000000,0,1,내국인,54601
2024-01,4600000000,10,1,내국인,81542
2024-01,4600000000,20,1,내국인,99250
2024-01,4600000000,30,1,내국인,89304
2024-01,4600000000,40,1,내국인,127471
2024-01,4600000000,50,1,내국인,167458
2024-01,4600000000,60,1,내국인,157245
2024-01,4600000000,70,1,내국인,131834
2024-01,4600000000,0,2,내국인,52378
2024-01,4600000000,10,2,내국인,77016
2024-01,4600000000,20,2,내국인,78076
2024-01,4600000000,30,2,내국인,79800
2024-01,4600000000,40,2,내국인,112906
2024-01,4600000000,50,2,내국인,143227
2024-01,4600000000,60,2,내국인,148964
