행정동코드,청년실업률,분기
1000000000,6.4,20241
1100000000,4.1,20241
2600000000,8.1,20241
2700000000,10.4,20241
2800000000,9.7,20241
2900000000,9.6,20241
3000000000,6,20241
3100000000,12.3,20241
3600000000,5,20241
4100000000,5.8,20241
4200000000,6.6,20241
4300000000,5.5,20241
4400000000,7.2,20241
4500000000,7.1,20241
4600000000,6.4,20241
4700000000,7.5,20241
4800000000,6.2,20241
5000000000,5.7,20241
1000000000,6.6,20242
1100000000,5.8,20242
2600000000,6.6,20242
2700000000,9.1,20242
2800000000,7.6,20242
2900000000,8.1,20242
3000000000,6,20242
3100000000,9.7,20242
3600000000,6.7,20242
4100000000,5.8,20242
4200000000,3.9,20242
4300000000,6.6,20242
4400000000,9.7,20242
4500000000,11.4,20242
4600000000,6.2,20242
4700000000,8.1,20242
4800000000,4.9,20242
5000000000,5.9,20242
