RANK_CO,PBLPRFR_NM,GENRE_NM,PBLPRFR_BEGIN_DE,PBLPRFR_END_DE,AREA_NM,PBLPRFR_PLACE_NM,RDNMADR_NM,LC_LA,LC_LO
"1","지킬앤하이드","뮤지컬","20241129","20250518","서울특별시","블루스퀘어","서울특별시 용산구 이태원로 294 (한남동)","37.5408717","127.0024401"
"2","알라딘","뮤지컬","20241117","20250622","서울특별시","샤롯데씨어터","서울특별시 송파구 올림픽로 240 (잠실동)","37.5105162","127.1005630"
"3","웃는 남자","뮤지컬","20250109","20250309","서울특별시","예술의전당","서울특별시 서초구 남부순환로 2406 (서초동)","37.4786896","127.0118241"
"4","시라노","뮤지컬","20241206","20250223","서울특별시","예술의전당","서울특별시 서초구 남부순환로 2406 (서초동)","37.4786896","127.0118241"
"5","마타하리","뮤지컬","20241205","20250302","서울특별시","LG아트센터","서울특별시 강남구 논현로 508 (역삼동)","37.5022937","127.0375211"
"6","MGA LIVE in KOREA [서울]","대중음악","20250215","20250216","서울특별시","고려대학교 화정체육관","서울특별시 성북구 안암로 145 (안암동5가)","37.5929400","127.0249030"
"7","스윙 데이즈_암호명 A","뮤지컬","20241119","20250209","서울특별시","충무아트센터","서울특별시 중구 퇴계로 387 (흥인동)","37.5660139","127.0148131"
"8","지저스 크라이스트 수퍼스타","뮤지컬","20241107","20250112","서울특별시","광림아트센터","서울특별시 강남구 논현로163길 33 (신사동)","37.5238342","127.0251165"
"9","I.M WORLD TOUR: Off The Beat FINAL IN SEOUL","대중음악","20250117","20250119","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"10","이준호 FAN-CON: Midnight Sun [인천]","대중음악","20250125","20250126","인천광역시","인스파이어리조트","인천광역시 중구 공항문화로 127 (운서동)","37.4655301","126.3891177"
"11","명성황후","뮤지컬","20250121","20250330","서울특별시","세종문화회관","서울특별시 종로구 세종대로 175 (세종로)","37.5725254","126.9756429"
"12","GFRIEND 10th Anniversary, Season of Memories","대중음악","20250118","20250119","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"13","BABYMONSTER 1st WORLD TOUR, HELLO MONSTERS IN SEOUL","대중음악","20250125","20250126","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"14","광화문 연가","뮤지컬","20241023","20250105","서울특별시","디큐브아트센터","서울특별시 구로구 경인로 662 (신도림동, 디큐브시티)","37.5084321","126.8887332"
"15","이승환 콘서트: HEAVEN [서울]","대중음악","20250315","20250316","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"16","LEE SEUNG YOON CONCERT, YEOK SEONG: 끝을 거슬러","대중음악","20241227","20241229","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"17","이프덴 [대학로]","뮤지컬","20241203","20250302","서울특별시","홍익대 대학로 아트센터","서울특별시 종로구 대학로 57","37.5769696","127.0020331"
"18","SUHO CONCERT, SU: HOMME [서울 (앵콜) ]","대중음악","20250125","20250126","서울특별시","올림픽공원","서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)","37.5211200","127.1283636"
"19","블러디 러브","뮤지컬","20241207","20250216","서울특별시","한전아트센터","서울특별시 서초구 서초동 1355","37.4856830","127.0280230"
