No,지역,지역,지역,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월
1,전국,전국,전국,99.35,99.46,99.53,99.61,99.74,99.86,100.00,100.14,100.31,100.47
2,수도권,수도권,수도권,99.09,99.25,99.37,99.49,99.66,99.80,100.00,100.15,100.34,100.55
3,지방권,지방권,지방권,100.04,100.02,99.95,99.94,99.97,100.03,100.00,100.11,100.22,100.26
4,6대광역시,6대광역시,6대광역시,99.01,99.12,99.25,99.40,99.69,99.84,100.00,100.10,100.19,100.23
5,5대광역시,5대광역시,5대광역시,99.88,99.84,99.86,99.86,99.93,99.99,100.00,100.03,100.09,100.09
6,9개도,9개도,9개도,99.51,99.64,99.67,99.73,99.81,99.90,100.00,100.14,100.27,100.32
7,8개도,8개도,8개도,100.19,100.18,100.03,100.00,99.99,100.06,100.00,100.18,100.35,100.41
8,서울,서울,서울,99.37,99.45,99.54,99.59,99.69,99.82,100.00,100.17,100.46,100.85
9,서울,강북지역,강북지역,99.31,99.42,99.54,99.60,99.70,99.82,100.00,100.15,100.41,100.80
10,서울,강북지역,도심권,99.05,99.21,99.32,99.45,99.60,99.78,100.00,100.22,100.62,101.10
11,서울,강북지역,동북권,99.57,99.61,99.72,99.75,99.81,99.89,100.00,100.13,100.34,100.66
12,서울,강북지역,서북권,98.97,99.16,99.32,99.39,99.54,99.73,100.00,100.16,100.45,100.95
13,서울,강남지역,강남지역,99.42,99.48,99.54,99.59,99.68,99.81,100.00,100.19,100.50,100.89
14,서울,강남지역,서남권,99.40,99.48,99.54,99.60,99.69,99.83,100.00,100.18,100.50,100.83
15,서울,강남지역,동남권,99.44,99.49,99.54,99.57,99.66,99.78,100.00,100.21,100.50,100.99
16,경기,경기,경기,99.18,99.37,99.49,99.60,99.72,99.82,100.00,100.11,100.23,100.27
17,경기,경부1권,경부1권,98.68,98.98,99.27,99.41,99.55,99.76,100.00,100.13,100.24,100.37
18,경기,경부2권,경부2권,99.69,99.72,99.69,99.71,99.78,99.92,100.00,99.96,100.02,100.05
19,경기,서해안권,서해안권,99.26,99.48,99.57,99.64,99.76,99.82,100.00,100.17,100.31,100.30
20,경기,동부1권,동부1권,98.51,98.83,99.00,99.34,99.58,99.81,100.00,100.21,100.40,100.47
21,경기,동부2권,동부2권,99.64,99.86,99.90,99.95,99.96,99.99,100.00,99.98,99.95,99.93
22,경기,경의권,경의권,99.23,99.28,99.49,99.61,99.76,99.78,100.00,100.12,100.16,100.27
23,경기,경원권,경원권,99.58,99.70,99.75,99.77,99.80,99.79,100.00,100.04,100.14,100.23
24,인천,인천,인천,97.85,98.16,98.43,98.79,99.36,99.65,100.00,100.20,100.33,100.42
25,부산,부산,부산,100.33,100.23,100.22,100.11,100.10,100.10,100.00,100.07,100.13,100.17
26,부산,중부산권,중부산권,99.81,99.80,99.91,99.96,100.01,100.06,100.00,100.09,100.19,100.26
27,부산,동부산권,동부산권,100.71,100.58,100.48,100.17,100.16,100.17,100.00,100.06,100.08,100.11
28,부산,서부산권,서부산권,101.21,100.91,100.70,100.43,100.26,100.09,100.00,100.04,100.05,100.03
29,대구,대구,대구,100.14,99.99,99.85,99.77,99.83,99.84,100.00,99.89,99.96,99.89
30,광주,광주,광주,99.43,99.52,99.52,99.75,99.84,99.90,100.00,100.09,100.15,100.27
31,대전,대전,대전,98.55,98.73,99.12,99.38,99.62,99.96,100.00,99.95,99.93,99.66
32,울산,울산,울산,98.69,98.87,98.91,99.17,99.55,99.74,100.00,100.10,100.28,100.39
33,세종,세종,세종,100.20,100.28,100.37,100.36,100.44,100.19,100.00,99.94,99.86,99.78
34,강원,강원,강원,99.51,99.64,99.69,99.76,99.78,99.80,100.00,100.10,100.31,100.36
35,충북,충북,충북,99.61,99.70,99.86,99.88,100.00,100.24,100.00,100.05,100.46,100.60
36,충남,충남,충남,100.43,100.40,100.30,100.20,99.95,100.03,100.00,100.20,100.44,100.60
37,전북,전북,전북,99.14,99.51,99.28,99.24,99.60,99.96,100.00,100.24,100.33,100.15
38,전남,전남,전남,99.93,99.88,99.86,99.93,99.89,100.02,100.00,99.92,99.92,99.91
39,경북,경북,경북,99.77,99.87,99.89,99.96,99.96,100.01,100.00,99.96,99.98,100.16
40,경남,경남,경남,101.04,100.75,100.07,100.01,100.02,100.10,100.00,101.00,101.57,101.84
41,제주,제주,제주,100.91,100.76,100.58,100.45,100.38,100.19,100.00,99.86,99.70,99.48
