No,지역,지역,지역,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월
1,전국,전국,전국,390,390,390,390,390,390,390,390,390,400,400,400
2,수도권,수도권,수도권,455,458,460,460,460,460,460,460,460,480,480,480
3,지방권,지방권,지방권,290,290,290,290,290,290,290,290,290,300,300,300
4,6대광역시,6대광역시,6대광역시,310,310,310,310,310,310,310,310,310,330,330,330
5,5대광역시,5대광역시,5대광역시,310,310,310,310,310,310,310,310,310,320,320,320
6,9개도,9개도,9개도,330,330,330,331,338,340,339,338,340,360,360,360
7,8개도,8개도,8개도,268,264,264,260,260,260,260,260,260,290,290,290
8,서울,서울,서울,530,535,535,535,540,540,540,540,540,550,550,550
9,서울,강북지역,강북지역,515,518,520,520,520,520,520,520,520,510,520,520
10,서울,강북지역,도심권,650,650,650,650,650,650,650,650,650,650,650,650
11,서울,강북지역,동북권,480,480,480,480,480,480,480,480,485,500,500,500
12,서울,강북지역,서북권,510,510,515,520,520,520,520,520,520,510,520,520
13,서울,강남지역,강남지역,550,550,550,550,550,550,550,550,550,560,570,570
14,서울,강남지역,서남권,510,510,510,510,510,510,520,520,520,530,530,530
15,서울,강남지역,동남권,670,670,680,680,680,695,690,690,695,705,705,720
16,경기,경기,경기,400,400,400,400,400,400,400,400,400,410,415,415
17,경기,경부1권,경부1권,705,705,715,715,715,720,720,720,720,700,700,700
18,경기,경부2권,경부2권,310,310,310,310,310,315,310,310,310,350,350,350
19,경기,서해안권,서해안권,320,320,320,320,320,320,320,320,320,330,330,330
20,경기,동부1권,동부1권,500,500,510,510,510,520,520,520,520,520,520,520
21,경기,동부2권,동부2권,280,290,298,298,298,290,290,280,290,290,290,285
22,경기,경의권,경의권,480,480,480,480,480,480,490,490,490,500,510,510
23,경기,경원권,경원권,300,305,305,305,305,305,305,305,305,310,310,310
24,인천,인천,인천,315,315,320,320,321,330,330,330,330,360,360,360
25,부산,부산,부산,300,300,300,300,300,300,300,302,300,310,310,310
26,부산,중부산권,중부산권,290,292,292,292,292,290,290,290,290,300,300,300
27,부산,동부산권,동부산권,350,349,350,350,350,350,350,350,350,350,350,355
28,부산,서부산권,서부산권,292,290,290,290,290,290,290,290,290,300,290,290
29,대구,대구,대구,360,360,360,350,350,350,350,350,350,355,355,355
30,광주,광주,광주,330,350,350,350,350,350,350,350,350,380,380,385
31,대전,대전,대전,250,250,250,250,250,250,250,250,250,290,290,290
32,울산,울산,울산,325,325,330,330,330,330,330,336,336,330,330,330
33,세종,세종,세종,184,190,190,190,190,190,190,190,190,325,325,325
34,강원,강원,강원,270,270,270,270,270,270,270,270,270,300,300,300
35,충북,충북,충북,318,315,315,315,320,320,319,320,325,320,320,320
36,충남,충남,충남,275,275,275,275,270,270,270,275,275,300,300,300
37,전북,전북,전북,240,240,240,240,240,230,230,230,230,240,240,240
38,전남,전남,전남,220,220,220,220,220,220,220,220,220,270,270,270
39,경북,경북,경북,234,234,234,238,234,234,234,234,234,250,250,250
40,경남,경남,경남,225,225,225,224,224,223,222,222,222,232,233,237
41,제주,제주,제주,469,469,469,469,470,470,470,470,470,470,470,470
