No,지역,지역,지역,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월
1,전국,전국,전국,"15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000"
2,수도권,수도권,수도권,"25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","22,500","22,500","22,000"
3,지방권,지방권,지방권,"8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000","8,000"
4,6대광역시,6대광역시,6대광역시,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
5,5대광역시,5대광역시,5대광역시,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
6,9개도,9개도,9개도,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
7,8개도,8개도,8개도,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
8,서울,서울,서울,"43,000","43,000","43,000","43,000","43,000","43,000","43,000","43,000","43,000","42,000","42,000","42,000"
9,서울,강북지역,강북지역,"41,000","41,000","41,000","41,000","41,000","41,000","41,000","41,000","41,000","41,000","41,000","41,000"
10,서울,강북지역,도심권,"56,250","56,250","56,750","56,750","56,750","56,750","57,000","57,000","57,000","54,000","54,000","54,000"
11,서울,강북지역,동북권,"36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000"
12,서울,강북지역,서북권,"40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000"
13,서울,강남지역,강남지역,"45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000","45,000"
14,서울,강남지역,서남권,"40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000","40,000"
15,서울,강남지역,동남권,"55,000","55,000","55,000","56,000","56,000","56,000","56,000","56,000","55,000","50,000","50,000","50,000"
16,경기,경기,경기,"15,000","15,000","15,500","15,500","16,000","16,000","15,500","15,500","15,500","15,000","15,000","15,000"
17,경기,경부1권,경부1권,"35,000","35,000","36,000","36,000","36,000","36,000","36,000","36,000","36,000","40,000","40,000","40,000"
18,경기,경부2권,경부2권,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
19,경기,서해안권,서해안권,"11,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","11,000","11,000","11,000"
20,경기,동부1권,동부1권,"23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,000","23,500","22,000","22,000","22,000"
21,경기,동부2권,동부2권,"5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,500","5,000","5,000","5,000"
22,경기,경의권,경의권,"20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000","20,000"
23,경기,경원권,경원권,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
24,인천,인천,인천,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
25,부산,부산,부산,"12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","12,000","11,000","11,000","11,000"
26,부산,중부산권,중부산권,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
27,부산,동부산권,동부산권,"15,500","15,500","15,500","15,500","15,500","15,500","15,500","15,000","15,000","16,000","16,000","16,000"
28,부산,서부산권,서부산권,"14,000","14,000","14,000","14,000","14,000","14,000","14,000","14,000","14,000","12,000","12,000","12,000"
29,대구,대구,대구,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
30,광주,광주,광주,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
31,대전,대전,대전,"9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","9,000","8,000","8,000","8,000"
32,울산,울산,울산,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
33,세종,세종,세종,"4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000"
34,강원,강원,강원,"4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","4,000","5,000","5,000","5,000"
35,충북,충북,충북,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
36,충남,충남,충남,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
37,전북,전북,전북,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
38,전남,전남,전남,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
39,경북,경북,경북,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000"
40,경남,경남,경남,"10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000","10,000"
41,제주,제주,제주,"5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,000","5,400","5,400","5,400"
