No,지역,지역,지역,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월
1,전국,전국,전국,471,472,472,473,473,473,474,474,474,481,482,482
2,수도권,수도권,수도권,547,547,549,549,550,551,551,551,551,555,556,557
3,지방권,지방권,지방권,343,342,342,342,342,342,342,341,341,355,355,355
4,6대광역시,6대광역시,6대광역시,357,357,357,357,357,358,358,358,358,370,370,370
5,5대광역시,5대광역시,5대광역시,359,359,359,359,359,358,358,358,358,365,365,365
6,9개도,9개도,9개도,436,436,436,436,437,437,437,437,438,448,449,449
7,8개도,8개도,8개도,333,333,333,332,332,332,332,331,331,346,345,345
8,서울,서울,서울,625,626,627,628,629,629,630,630,628,625,626,628
9,서울,강북지역,강북지역,595,596,597,598,599,599,599,600,601,594,596,597
10,서울,강북지역,도심권,790,790,791,793,793,795,795,797,798,785,787,789
11,서울,강북지역,동북권,532,533,534,534,534,534,535,535,535,541,542,543
12,서울,강북지역,서북권,562,563,564,565,567,567,567,568,568,549,550,553
13,서울,강남지역,강남지역,670,671,672,673,673,674,675,676,670,670,671,673
14,서울,강남지역,서남권,527,527,529,530,530,531,532,532,533,537,539,540
15,서울,강남지역,동남권,899,900,901,902,902,903,904,905,888,883,884,886
16,경기,경기,경기,503,503,504,505,506,507,507,506,508,516,516,517
17,경기,경부1권,경부1권,957,959,963,965,970,973,975,976,978,929,930,932
18,경기,경부2권,경부2권,385,386,386,386,386,387,387,387,387,417,418,418
19,경기,서해안권,서해안권,400,400,400,401,401,402,401,401,402,421,422,423
20,경기,동부1권,동부1권,551,552,553,555,555,556,557,550,559,562,563,563
21,경기,동부2권,동부2권,315,316,316,316,317,316,316,316,316,324,324,324
22,경기,경의권,경의권,556,555,556,555,555,556,557,557,557,584,584,585
23,경기,경원권,경원권,324,324,324,324,324,324,324,324,324,332,333,333
24,인천,인천,인천,350,351,352,353,354,355,356,357,358,385,386,386
25,부산,부산,부산,344,344,344,344,344,343,343,343,342,350,350,350
26,부산,중부산권,중부산권,313,313,313,313,313,313,314,314,313,324,324,324
27,부산,동부산권,동부산권,422,422,422,422,422,422,422,421,421,420,420,419
28,부산,서부산권,서부산권,302,302,302,301,300,299,298,298,297,311,311,311
29,대구,대구,대구,362,361,360,360,359,359,358,358,358,366,366,366
30,광주,광주,광주,392,392,392,392,392,391,392,392,392,397,398,398
31,대전,대전,대전,379,379,380,380,381,381,381,382,382,393,393,392
32,울산,울산,울산,358,358,358,359,359,359,359,359,360,360,361,361
33,세종,세종,세종,272,272,271,271,271,271,271,271,270,362,361,361
34,강원,강원,강원,318,319,319,320,320,320,320,320,320,330,331,330
35,충북,충북,충북,402,402,401,400,400,400,400,399,398,400,400,401
36,충남,충남,충남,305,305,305,304,304,303,303,303,303,332,332,332
37,전북,전북,전북,276,276,276,276,275,275,274,274,274,282,281,281
38,전남,전남,전남,270,270,270,270,270,270,269,269,270,313,313,313
39,경북,경북,경북,276,277,276,276,276,276,275,276,276,284,284,285
40,경남,경남,경남,284,284,284,283,283,282,283,283,283,283,283,283
41,제주,제주,제주,562,561,560,559,559,559,558,557,555,567,565,563
