No,지역,지역,지역,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월
1,전국,전국,전국,28976,28966,28966,28977,28979,29000,28990,28973,28989,30910,30901,30895
2,수도권,수도권,수도권,39486,39471,39471,39491,39499,39536,39529,39506,39535,42440,42428,42419
3,지방권,지방권,지방권,11074,11075,11075,11068,11060,11054,11039,11034,11025,11207,11204,11201
4,6대광역시,6대광역시,6대광역시,12907,12909,12904,12892,12879,12875,12866,12857,12852,12944,12941,12940
5,5대광역시,5대광역시,5대광역시,13606,13603,13597,13583,13570,13562,13552,13539,13533,13621,13615,13615
6,9개도,9개도,9개도,20509,20530,20548,20557,20563,20554,20551,20528,20563,21585,21578,21566
7,8개도,8개도,8개도,9178,9183,9188,9188,9191,9186,9177,9178,9167,9356,9356,9350
8,서울,서울,서울,56151,56083,56056,56086,56097,56189,56174,56161,56160,60939,60923,60920
9,서울,강북지역,강북지역,52853,52837,52813,52865,52893,53051,53069,53071,53073,56874,56873,56867
10,서울,강북지역,도심권,88294,88303,88248,88389,88483,88532,88541,88554,88558,94200,94203,94205
11,서울,강북지역,동북권,41201,41149,41104,41141,41142,41419,41443,41429,41436,45300,45303,45293
12,서울,강북지역,서북권,46898,46916,46939,46956,46979,47044,47060,47078,47070,49656,49648,49642
13,서울,강남지역,강남지역,61094,60946,60916,60913,60899,60891,60826,60792,60786,67035,66995,66997
14,서울,강남지역,서남권,41656,41966,41917,41915,41929,41935,41918,41926,41942,41778,41713,41717
15,서울,강남지역,동남권,92155,91277,91275,91271,91211,91180,91040,90940,90899,107497,107497,107497
16,경기,경기,경기,27943,27974,28001,28016,28024,28012,28012,27975,28039,29578,29566,29550
17,경기,경부1권,경부1권,80097,80194,80373,80470,80519,80444,80465,80468,80502,93100,92989,93033
18,경기,경부2권,경부2권,15863,15863,15863,15866,15862,15862,15870,15870,15877,16496,16496,16496
19,경기,서해안권,서해안권,20174,20160,20160,20158,20156,20156,20164,20171,20169,20155,20171,20108
20,경기,동부1권,동부1권,29078,29087,29089,29089,29096,29089,29085,28824,29241,29082,29082,29082
21,경기,동부2권,동부2권,9591,9591,9591,9591,9591,9591,9591,9591,9591,9097,9095,9039
22,경기,경의권,경의권,24942,25109,25109,25109,25117,25113,25107,25101,25082,23382,23378,23357
23,경기,경원권,경원권,10730,10716,10725,10739,10742,10747,10700,10700,10700,10621,10621,10621
24,인천,인천,인천,10569,10590,10586,10581,10570,10578,10572,10574,10574,10683,10686,10683
25,부산,부산,부산,15091,15079,15077,15076,15057,15043,15036,15018,15001,14921,14905,14909
26,부산,중부산권,중부산권,13424,13398,13408,13393,13365,13371,13342,13349,13359,13510,13477,13484
27,부산,동부산권,동부산권,18822,18825,18811,18830,18802,18768,18789,18718,18651,18532,18529,18531
28,부산,서부산권,서부산권,13408,13400,13392,13392,13400,13375,13371,13374,13374,12949,12949,12949
29,대구,대구,대구,11428,11434,11409,11335,11322,11301,11266,11261,11261,11027,11020,11020
30,광주,광주,광주,11640,11612,11613,11615,11603,11604,11604,11606,11631,13933,13933,13933
31,대전,대전,대전,12613,12616,12616,12599,12589,12603,12604,12583,12576,12691,12708,12701
32,울산,울산,울산,13590,13612,13600,13601,13601,13594,13582,13579,13579,13267,13264,13262
33,세종,세종,세종,6458,6458,6458,6458,6335,6335,6168,6168,6168,7561,7561,7561
34,강원,강원,강원,6744,6747,6755,6776,6774,6777,6780,6785,6803,7341,7364,7434
35,충북,충북,충북,7152,7157,7160,7183,7266,7293,7300,7359,7342,7372,7377,7386
36,충남,충남,충남,7089,7085,7085,7086,7086,7084,7071,7081,7081,7133,7133,7126
37,전북,전북,전북,10186,10207,10254,10265,10281,10273,10258,10232,10235,10373,10368,10372
38,전남,전남,전남,9781,9775,9775,9769,9763,9702,9670,9660,9648,9664,9658,9652
39,경북,경북,경북,5616,5617,5616,5614,5615,5615,5615,5610,5603,6145,6156,6122
40,경남,경남,경남,16279,16316,16320,16307,16277,16322,16309,16301,16257,16454,16444,16410
41,제주,제주,제주,6976,6945,6942,6924,6929,6871,6870,6867,6860,6870,6860,6858
