Season,Club,Expenditure_EUR_m,Income_EUR_m,Net_Balance_EUR_m,Final_Rank
2024-25,Real Madrid,49.00,16.00,-33.00,
2024-25,FC Barcelona,60.50,66.80,6.30,
2024-25,Bayern Munich,149.00,84.35,-64.65,
2024-25,Borussia Dortmund,77.20,65.55,-11.65,
2024-25,Inter Milan,76.40,20.03,-56.37,
2024-25,Juventus,201.90,114.03,-87.87,
2024-25,Paris Saint-Germain,239.92,145.10,-94.82,
2024-25,Sporting CP,59.84,42.30,-17.54,
2024-25,SL Benfica,82.90,160.92,78.02,
2024-25,Ajax,57.28,33.25,-24.03,
2024-25,PSV Eindhoven,62.40,78.00,15.60,
2024-25,Galatasaray,61.65,38.50,-23.15,
