Season,Club,Expenditure_EUR_m,Income_EUR_m,Net_Balance_EUR_m,Final_Rank
2023-24,Arsenal FC,235.10,69.20,-165.90,2
2023-24,Aston Villa,111.50,33.16,-78.34,4
2023-24,AFC Bournemouth,129.89,1.50,-128.39,12
2023-24,Brentford FC,72.35,10.25,-62.10,16
2023-24,Brighton & Hove Albion,106.85,189.00,82.15,11
2023-24,Burnley FC,111.05,3.80,-107.25,19
2023-24,Chelsea FC,464.10,282.20,-181.90,6
2023-24,Crystal Palace,67.80,0.00,-67.80,10
2023-24,Everton FC,40.50,82.80,42.30,15
2023-24,Fulham FC,73.17,53.20,-19.97,13
2023-24,Liverpool FC,172.00,60.70,-111.30,3
2023-24,Luton Town,25.90,0.30,-25.60,18
2023-24,Manchester City,259.60,138.80,-120.80,1
2023-24,Manchester United,210.70,63.77,-146.93,8
2023-24,Newcastle United,148.10,44.60,-103.50,7
2023-24,Nottingham Forest,131.63,82.82,-48.81,17
2023-24,Sheffield United,66.95,30.90,-36.05,20
2023-24,Tottenham Hotspur,272.10,120.70,-151.40,5
2023-24,West Ham United,144.56,172.86,28.30,9
2023-24,Wolverhampton Wanderers,94.00,169.20,75.20,14
